dataset,regulation,num,paragraph
Quem pode prorrogar o prazo de curso,"Poderá ser concedida prorrogação de prazo a alunos que não puderem concluir o curso no prazo máximo de integralização curricular fixado pela Resolução do Curso,
nas seguintes situações:
I – portadores de deficiência física ou de afecção que importe em limitação da aprendizagem;
II – em casos de força maior, caracterizados na Lei Civil como acontecimentos estranhos à ação ou à vontade humanas, de efeitos previsíveis ou imprevisíveis, porém inevitáveis;
III – a alunos que já tenham cumprido, pelo menos, 90% (noventa por cento) da carga
horária para integralização curricular fixado no Projeto Pedagógico;
IV – a alunos que necessitem cumprir apenas o estágio curricular.",Art. 149,"§ 1º A limitação da aprendizagem de que trata o inciso I deverá ser devidamente comprovada por Junta de Especialistas instituída pela Pró-Reitoria de Ensino, composta de, pelo
menos, um médico, um psicólogo, um pedagogo, e, quando necessário, outros técnicos servidores da Instituição.
§ 2º Os casos de força maior de que trata o inciso II deverão ser devidamente comprovados por autoridade pública que ateste o envolvimento do aluno em tais acontecimentos."
Quanto tempo posso prorrogar o curso,"A prorrogação de prazo não poderá exceder 50% (cinquenta por cento) do
tempo mínimo para integralização curricular fixado no Projeto Pedagógico do Curso.",Art. 150,
Como pedir prorrogação do curso,"O processo de pedido de prorrogação de prazo deverá ser instruído com os
seguintes documentos:
I – requerimento encaminhado a Pró-Reitoria de Ensino dentro do prazo fixado no calendário acadêmico;
II – comprovação de que o aluno se enquadra nos casos previstos no artigo 149;
III – histórico acadêmico atualizado.",Art. 151,
O coordenador tem que aceitar a prorrogação do curso?,"Tendo a Pró-Reitoria certificado que o aluno se enquadra em uma das hipóteses do art. 149, o processo será encaminhado ao Coordenador do Curso, para:
a) analisar a situação do aluno face ao cumprimento do fluxograma do curso, destacando as disciplinas que faltam para a integralização curricular;
b) elaborar plano de estudos, por período letivo, de disciplinas a serem cursadas pelo
aluno para concluir o curso;
c) fixar o prazo de prorrogação, em termos de períodos letivos, que julgar necessário
para o cumprimento do plano de estudos, desde que não exceda o tempo a que se refere o artigo 150;
d) anexar termo de compromisso assinado pelo aluno, concordando com as exigências
para o cumprimento do plano de estudos.",Art. 152,
Quem tem a decisão final de prorrogação do curso,"Depois de instruído, o processo será devolvido à Pró-Reitoria de Ensino para
decisão final.",Art. 153,
Quanto tempo dão uma decisão de aceitar ou não a prorrogação de curso,"Da decisão da Pró-Reitoria de Ensino caberá recurso à Câmara Superior de
Ensino, sem efeito suspensivo, no prazo de 10 (dez) dias úteis, a contar da ciência da decisão
pelo interessado ou por seu representante.",Art. 154,
Quem irá acompanhar meu fluxo durante a graduação,"Caberá ao Coordenador do Curso o acompanhamento diligente do fluxo de
integralização curricular do aluno que estiver cursando em regime de prorrogação de prazo,
bem como encaminhamento à Pró-Reitoria de Ensino, a cada período letivo, de relatório do
desempenho acadêmico do aluno.",Art. 155,
Em que casos minha matricula é cancelada,"Terá indicação de cancelamento de matrícula, pela PRE, o aluno que:
I – não se enquadrar em nenhuma das situações dos incisos a, b, c, d:
a – portadores de deficiência física ou de afecção que importe em limitação da aprendizagem;
b – em casos de força maior, caracterizados na Lei Civil como acontecimentos estranhos à ação ou à vontade humanas, de efeitos previsíveis ou imprevisíveis, porém inevitáveis;
c – a alunos que já tenham cumprido, pelo menos, 90% (noventa por cento) da carga
horária para integralização curricular fixado no Projeto Pedagógico;
d – a alunos que necessitem cumprir apenas o estágio curricular. 
II – descumprir o termo de compromisso:
Anexar termo de compromisso assinado pelo aluno, concordando com as exigências
para o cumprimento do plano de estudos.
III – tiver acumulado número de créditos ou de carga horária insuficiente, que lhe impossibilite de concluir o curso no prazo máximo estabelecido para integralização curricular
em prorrogação de prazo.",Art. 156,
Posso prorrogar o prazo já prorrogado,"O aluno que, durante o período de vigência da prorrogação de prazo que lhe
for concedida, não cumprir o termo de compromisso, em vista de razões previstas:
I – portadores de deficiência física ou de afecção que importe em limitação da aprendizagem;
II – em casos de força maior, caracterizados na Lei Civil como acontecimentos estranhos à ação ou à vontade humanas, de efeitos previsíveis ou imprevisíveis, porém inevitáveis;, poderá requerer nova prorrogação de prazo.",Art. 157,"Parágrafo único. O processo de pedido de nova prorrogação de prazo deverá satisfazer as premissas enviadas ao Coordenador do Curso, para:
a) analisar a situação do aluno face ao cumprimento do fluxograma do curso, destacando as disciplinas que faltam para a integralização curricular;
b) elaborar plano de estudos, por período letivo, de disciplinas a serem cursadas pelo
aluno para concluir o curso;
c) fixar o prazo de prorrogação, em termos de períodos letivos, que julgar necessário
para o cumprimento do plano de estudos, desde que não exceda o tempo a que se refere o artigo 150;
d) anexar termo de compromisso assinado pelo aluno, concordando com as exigências
para o cumprimento do plano de estudos. "
"Prorroguei meu curso, posso trancar?","Não será permitido ao aluno matriculado em regime de prorrogação de prazo, trancamento total ou parcial de disciplinas.",Art. 158,
Em que casos posso colar grau,"Somente estará apto à colação de grau o aluno que:
I – integralizar o currículo do curso em que está matriculado, conforme o que dispõe
sua respectiva resolução;
II – apresentar certidão negativa da biblioteca.",Art. 159,"§ 1º Caberá ao Coordenador do Curso verificar o cumprimento das disciplinas curriculares e atividades acadêmicas exigidas para a concessão do grau e enviar a relação dos prováveis concluintes a Coordenação de Controle Acadêmico.
§ 2º A Coordenação de Controle Acadêmico fará consistência acadêmica da relação e
comunicará, à Direção de Centro, os nomes dos alunos que estarão aptos, caso aprovados nas
disciplinas em que se encontram matriculados.
§ 3º A Coordenação de Controle Acadêmico expedirá relação oficial dos concluintes
aptos a colar grau, após o lançamento das notas no Sistema de Controle Acadêmico, enviando-a às Direções de Centro.
§ 4º É vedada a inclusão de nomes de alunos na relação oficial de concluintes, sem a
autorização da Coordenação de Controle Acadêmico."
Qual o periodo de colação de grau,O período oficial da colação de grau será definido em calendário acadêmico.,Art. 160,Parágrafo único. A solenidade de colação de grau será organizada de acordo com resolução específica desta Câmara. 
Posso colar grau solenemente,"Os concluintes que deixarem de colar grau solenemente, poderão fazê-lo perante o Diretor do Centro, por delegação do Reitor, em data, local e hora previamente estabelecidos pela Direção do Centro.",Art. 161,
A expedição do diploma,"A expedição do diploma será efetuada mediante processo da Direção do
Centro, instruído com a ata de colação de grau.",Art. 162,
Prazo para receber o diploma,"Após o requerimento da expedição do diploma, a Coordenação de Controle
Acadêmico terá o prazo de até 60 (sessenta) dias úteis, a contar do recebimento do processo,
para expedi-lo.",Art. 163,"Parágrafo único. Não haverá expedição de novo diploma ao aluno que concluir uma
nova habilitação no mesmo curso, apenas o apostilamento no verso do diploma."
diploma fora da sede,"Após a confecção e o devido registro, os diplomas dos cursos fora de sede
serão enviados as Direções de Centro e estarão à disposição dos graduados ou representantes
legalmente constituídos pelo prazo máximo de 90 dias. ",Art. 164,"Parágrafo único. Após este prazo, os diplomas serão devolvidos à Coordenação de
Controle Acadêmico."
Posso ter segunda via do diploma,"O graduado ou seu representante legal poderá requerer 2ª via do diploma
quando comprovar, por documento público, o seu extravio ou destruição, mediante pagamento de taxa e a apresentação dos seguintes documentos:
a) certidão de nascimento ou casamento;
b) cópia da carteira de identidade
c) certidão de ocorrência policial.",Art. 165,"Parágrafo único. O prazo para expedição de 2ª via do diploma será de até 60 (sessenta) dias úteis, a contar do recebimento do processo,
para expedi-lo."
Em que casos pedem revalidação do diploma,"São suscetíveis de revalidação os diplomas que correspondam, quanto ao
currículo, aos títulos ou habilitações conferidas por instituições brasileiras, entendida a equivalência em sentido amplo, de modo a abranger áreas congêneres, similares ou afins, aos que
são oferecidos no Brasil, de acordo com a legislação federal.",Art. 166,"Parágrafo único. A revalidação é dispensável nos casos previstos em acordo cultural
entre o Brasil e o país de origem do diploma, permanecendo, porém, a obrigatoriedade do
registro, quando este for exigido pela legislação brasileira."
Como é o pedido de revalidação,"O processo de revalidação será instaurando mediante requerimento dirigido
ao Pró-Reitor de Ensino, nos termos da resolução específica e do Edital.",Art. 167,"Parágrafo único. O processo de revalidação de diplomas ocorrerá preferencialmente
no primeiro período letivo de cada ano."
Quem avalia a revalidação,"Será competente para processar e julgar revalidações o curso idêntico, ou
correspondente, aos referidos nos títulos estrangeiros, devidamente reconhecido pelo Conselho Nacional de Educação – CNE.",Art. 168,
Quais normas os discentes seguem,"As sanções disciplinares aplicáveis ao pessoal discente dar-se-ão nos termos
do Regimento Geral da UFCG.",Art. 169,
Tempo de recurso das decisões da Pré-Reitoria,"Das decisões da Pró-Reitoria de Ensino caberá recurso a Câmara Superior de
Ensino, no prazo de 10 (dez dias) a contar da ciência do interessado, na forma que dispõem o
Estatuto e o Regimento Geral da UFCG.",Art. 170,
Quem expede resoluções complementares às normas do Regulamento?,"A Câmara Superior de Ensino e demais Órgãos Deliberativos Superiores,
dentro de suas atribuições, expedirão resoluções complementares às normas do Regulamento.",Art. 171,
casos omissos,Os casos omissos serão deliberados pela Câmara Superior de Ensino.,Art. 172,
Quando entrou em vigor o regulamento atual?,"Este Regulamento do Ensino de Graduação entrará em vigor no ano letivo
de 2008, salvo disposição expressa da lei, revogadas as disposições em contrário.",Art. 173,
Quais critérios para reingresso,"Candidatos já graduados poderão ingressar nos cursos de graduação da
UFCG, mediante processo seletivo, para:
I – obtenção de novo grau;
II – realização de nova modalidade:
a) Licenciatura
b) Bacharelado
III – complementação de estudos para integralização de:
a) Licenciatura Plena respectiva, no caso de licenciados em curso de curta duração;
b) graduação em Pedagogia, quando se tratar de diplomados em outras licenciaturas;
c) nova habilitação e/ou ênfase do mesmo curso, dentro dos limites fixados na regulamentação do Curso.",Art. 23,"§ 1º Não haverá expedição de novo diploma ao aluno que concluir uma nova modalidade, habilitação e/ou ênfase de um mesmo curso.
§ 2º O processo seletivo de que trata o caput deste artigo será regulamentado por legislação específica da Pró-Reitoria de Ensino. "
modalidades dos cursos da ufcg,"Os cursos de graduação da Universidade Federal de Campina Grande conferirão graus acadêmicos de nível superior, nas modalidades bacharelado, licenciatura ou outras
que assegurem o exercício profissional. ",Art. 1,
Só tem cursos de bacharelado?,"Os cursos de graduação da Universidade Federal de Campina Grande conferirão graus acadêmicos de nível superior, nas modalidades bacharelado, licenciatura ou outras
que assegurem o exercício profissional. ",Art. 1,
Só tem cursos de licenciatura,"Os cursos de graduação da Universidade Federal de Campina Grande conferirão graus acadêmicos de nível superior, nas modalidades bacharelado, licenciatura ou outras
que assegurem o exercício profissional. ",Art. 1,
Cursos de que nível a UFCG oferece,"Os cursos de graduação da Universidade Federal de Campina Grande conferirão graus acadêmicos de nível superior, nas modalidades bacharelado, licenciatura ou outras
que assegurem o exercício profissional. ",Art. 1,
De acordo com quem os cursos de graduação poderiam oferecer habilitações ,"Os cursos de graduação poderão oferecer habilitações ou ênfases, de acordo
com as diretrizes curriculares estabelecidas pelo Conselho Nacional de Educação. ",Art. 2,
Quem determina que a graduação é dividida em períodos letivos,"Os cursos de graduação terão suas atividades acadêmicas organizadas em períodos letivos, conforme disposto no presente Regulamento e nas Resoluções dos Cursos. ",Art. 3,"§ 1º O ano letivo, independente do ano civil, terá, no mínimo, duzentos dias de trabalho acadêmico efetivo.
§ 2º As atividades acadêmicas terão duração igual a um período letivo, conforme estabelecido no currículo de cada curso, ressalvados os períodos letivos complementares."
"Quero me profissionalizar em alguma area, um curso de graduação me entrega isso ",Os cursos de graduação visam à obtenção de qualificação universitária específica para o exercício profissional.,Art. 4,
O curso de graduação tem estrutura curricular,"A estrutura curricular de cada curso de graduação, parte integrante do projeto
pedagógico, será regulamentada pela Câmara Superior de Ensino, em conformidade com as
diretrizes curriculares estabelecidas pelo Conselho Nacional de Educação e demais Resoluções do Conselho Universitário. ",Art. 5,"Parágrafo único. A estrutura curricular de cada curso de graduação deve ser integralmente cumprida, para obtenção do respectivo grau acadêmico e do diploma."
Posso criar um curso de graduação ,"A proposta de criação de cursos, atendidos os dispositivos da legislação superior, dar-se-á com base em projeto originário de Unidade Acadêmica, e abrangerá:
I – cursos de graduação;
II – cursos sequenciais por campo de saber, de diferentes níveis de abrangência, abertos a candidatos que atendam aos requisitos estabelecidos pela Instituição. ",Art. 6,Parágrafo único. Os cursos sequenciais serão objeto de regulamentação específica. 
Posso criar um curso,"A proposta de criação de cursos, atendidos os dispositivos da legislação superior, dar-se-á com base em projeto originário de Unidade Acadêmica, e abrangerá:
I – cursos de graduação;
II – cursos sequenciais por campo de saber, de diferentes níveis de abrangência, abertos a candidatos que atendam aos requisitos estabelecidos pela Instituição. ",Art. 6,Parágrafo único. Os cursos sequenciais serão objeto de regulamentação específica. 
O que eu preciso pra criar um curso,"Os projetos de criação de curso deverão constar, no mínimo, dos seguintes itens:
I – justificativa da pertinência e da relevância do curso, nas dimensões acadêmico científica e social;
II – comprovação de viabilidade, sob os aspectos de:
a) adequação do curso às demandas do mundo do trabalho;
b) disponibilidade de pessoal e de recursos materiais para manutenção e desenvolvimento das atividades do curso ou programa;
c) compatibilidade dos objetivos do curso com os objetivos e finalidades da UFCG.
III – projeto pedagógico do curso, que:
a) compreenda o conjunto de ações sociopolíticas e técnico-pedagógicas relativas à
formação profissional, que se destinam a orientar a concretização curricular do referido curso.
b) atenda aos requisitos estabelecidos pela Legislação Federal e Resoluções do Conselho Universitário; ",Art. 7,
Pra criar um curso o que meu projeto pedagógico precisa ter,"Os projetos de criação de curso deverão constar, no mínimo, dos seguintes itens:
I – justificativa da pertinência e da relevância do curso, nas dimensões acadêmico científica e social;
II – comprovação de viabilidade, sob os aspectos de:
a) adequação do curso às demandas do mundo do trabalho;
b) disponibilidade de pessoal e de recursos materiais para manutenção e desenvolvimento das atividades do curso ou programa;
c) compatibilidade dos objetivos do curso com os objetivos e finalidades da UFCG.
III – projeto pedagógico do curso, que:
a) compreenda o conjunto de ações sociopolíticas e técnico-pedagógicas relativas à
formação profissional, que se destinam a orientar a concretização curricular do referido curso.
b) atenda aos requisitos estabelecidos pela Legislação Federal e Resoluções do Conselho Universitário; ",Art. 7,
extinção dos cursos da ufcg,"Os cursos mantidos pela UFCG poderão ser extintos ou temporariamente desativados, em consonância com indicações de processo de avaliação desenvolvido pela Instituição.",Art. 8,"Parágrafo único. As possibilidades de que trata o caput deste artigo serão objeto de
deliberação, cumulativamente, no âmbito da Unidade Acadêmica, do Centro e da Câmara
Superior de Ensino."
desativamento dos cursos da ufcg,"Os cursos mantidos pela UFCG poderão ser extintos ou temporariamente desativados, em consonância com indicações de processo de avaliação desenvolvido pela Instituição.",Art. 8,"Parágrafo único. As possibilidades de que trata o caput deste artigo serão objeto de
deliberação, cumulativamente, no âmbito da Unidade Acadêmica, do Centro e da Câmara
Superior de Ensino."
Posso entrar na ufcg por transferencia,"O ingresso nos cursos de graduação da UFCG far-se-á mediante:
I – concurso vestibular;
II – transferência;
III – admissão de graduado;
IV – reingresso;
V – reopção;
VI – programas acadêmicos específicos.",Art. 9,
Posso entrar na ufcg por reingresso,"O ingresso nos cursos de graduação da UFCG far-se-á mediante:
I – concurso vestibular;
II – transferência;
III – admissão de graduado;
IV – reingresso;
V – reopção;
VI – programas acadêmicos específicos.",Art. 9,
Qual o orgão responsavel pela entrada de alunos na ufcg," Os processos seletivos para admissão nos cursos de graduação serão organizados segundo critérios e normas definidas em resoluções da Câmara Superior de Ensino e 
executados pela Comissão de Processos Vestibulares – COMPROV, ou pela Pró-Reitoria de
Ensino. ",Art. 10,"§ 1º A validade do processo seletivo restringe-se ao período letivo a que esteja expressamente referido.
§ 2º Dos atos e decisões da COMPROV ou da Pró-Reitoria de Ensino caberá recurso à
Câmara Superior de Ensino, limitado, entretanto, à arguição de infringência das normas contidas no Estatuto, no Regimento Geral, no Regulamento da Graduação ou em legislação específica. "
Por quem sao executados os processos seletivos para acesso aos cursos de graduacao,"O processo seletivo para acesso aos cursos de graduação, executado pela
COMPROV tem como referência os conteúdos curriculares desenvolvidos no ensino médio,
objetivando:
I – aferir conhecimentos adquiridos e habilidades desenvolvidas pelos candidatos,
considerados como requisitos necessários à realização de curso superior;
II – classificar os candidatos dentro do limite de vagas fixado para cada curso. ",Art. 11,"Parágrafo único. A COMPROV procederá ao preenchimento das vagas geradas pelo
não comparecimento ao cadastramento, pela desistência formal de cadastramento, observada a
ordem de classificação, até o primeiro dia de matrícula do primeiro período letivo, estabelecido no calendário acadêmico."
Sou do exterior posso transferir pra ufcg,"Será permitida a transferência para cursos da UFCG aos alunos vinculados a
cursos idênticos ou afins, de estabelecimentos de ensino superior nacionais ou estrangeiros,
em duas modalidades: transferência voluntária e transferência ex-officio.",Art. 12,
Posso transferir pra ufcg,"Será permitida a transferência para cursos da UFCG aos alunos vinculados a
cursos idênticos ou afins, de estabelecimentos de ensino superior nacionais ou estrangeiros,
em duas modalidades: transferência voluntária e transferência ex-officio.",Art. 12,
Quais modalidades de transferencia,"Será permitida a transferência para cursos da UFCG aos alunos vinculados a
cursos idênticos ou afins, de estabelecimentos de ensino superior nacionais ou estrangeiros,
em duas modalidades: transferência voluntária e transferência ex-officio.",Art. 12,
O processo seletivo pra entrar na ufcg tem numero de vagas?,"A admissão de alunos aos cursos de graduação da UFCG, por meio de transferência voluntária, para cursos idênticos ou afins, far-se-á através de processo seletivo, realizado anualmente, destinado à classificação de candidatos, até o limite de vagas oferecidas. ",Art. 13,Parágrafo único. O processo seletivo de que trata o caput deste artigo será regulamentado por legislação específica da Câmara Superior de Ensino e executado pela COMPROV.
Tem processo seletivo pra entrar na ufcg,"A admissão de alunos aos cursos de graduação da UFCG, por meio de transferência voluntária, para cursos idênticos ou afins, far-se-á através de processo seletivo, realizado anualmente, destinado à classificação de candidatos, até o limite de vagas oferecidas. ",Art. 13,Parágrafo único. O processo seletivo de que trata o caput deste artigo será regulamentado por legislação específica da Câmara Superior de Ensino e executado pela COMPROV.
É possível fazer intercâmbio na ufcg?,"O Programa de Intercâmbio Nacional e Internacional – PIANI destina-se a
alunos regularmente matriculados nos cursos de graduação da UFCG, que atendam aos requisitos, e que, necessariamente, participarão de processo seletivo.",Art. 123,
TCC,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
tcc,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
Trabalho conclusão de curso,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
TRABALHO DE CONCLUSÃO DE CURSO,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
trabalho conclusao curso,"O aproveitamento acadêmico nas atividades didáticas deverá refletir o acompanhamento contínuo do desempenho do aluno, avaliado através de exercícios de verificação,
conforme as peculiaridades da disciplina.",Art. 71,"§ 1º Consideram-se exercícios de verificação os exercícios acadêmicos e o exame final;
§ 2º O número de exercícios acadêmicos por disciplina será de, no mínimo 2 (dois) para as disciplinas de carga horária até 45 (quarenta e cinco) horas e de 3 (três) para as disciplinas de carga horária superior a 45 (quarenta e cinco) horas, ressalvados os estágios supervisionados e os Trabalhos de Conclusão de Curso – TCC, cuja regulamentação está prevista em
resolução específica do curso.
§ 3º No início do período letivo, o professor deverá informar aos alunos a modalidade
e a periodicidade dos exercícios acadêmicos, a definição do conteúdo exigido em cada verificação, assim como o valor relativo de cada uma delas na composição das avaliações parciais,
conforme plano de ensino apresentado à Unidade Acadêmica.
§ 4º O aluno terá direito à informação sobre o resultado obtido em cada exercício de
verificação do aproveitamento acadêmico.
§ 5º O professor responsável pela disciplina deverá discutir em sala de aula os resultados do exercício de verificação do aproveitamento acadêmico e entregar documento à Unidade Acadêmica, no prazo máximo de 10 (dez) dias úteis após a sua realização, sendo então
publicado.
§ 6º O aluno que não comparecer a um ou mais dos exercícios acadêmicos terá direito
a apenas um exercício de reposição por disciplina, devendo o conteúdo ser o mesmo do exercício acadêmico a que não compareceu, conforme proposto no plano de ensino da disciplina.
§ 7º O exame de reposição e o exame final deverão ter seus resultados publicados no
prazo máximo de 03 (três) dias úteis após a sua realização."
trabalho de conclusao de curso,,,
